year,	e_pop_num,	e_prev_100k_hi
1990,	36793490,	925
1991,	37693622,	911
1992,	38649664,	886
1993,	39623496,	842
1994,	40561776,	801
1995,	41426810,	747
1996,	42204043,	738
1997,	42906581,	747
1998,	43558285,	806
1999,	44195890,	914
2000,	44846286,	1067
2001,	45513217,	1231
2002,	46187794,	1362
2003,	46869028,	1452
2004,	47553025,	1507
2005,	48235291,	1555
2006,	48919359,	1557
2007,	49602778,	1582
2008,	50267488,	1586
2009,	50889543,	1623
2010,	51452352,	1629
2011,	51949041,	1652
2012,	52385920,	1685
